Date,Origin,Destination,Round Trip,Price 
2022-05-24,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,933
2022-05-25,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,912
2022-05-25,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,443
2022-05-25,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,792
2022-05-25,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,489
2022-05-25,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,546
2022-05-25,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,508
2022-05-25,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,583
2022-05-25,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,345
2022-05-25,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,475
2022-05-25,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,694
2022-05-25,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,606
2022-05-25,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,470
2022-05-25,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,729
2022-05-25,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,577
2022-05-25,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,495
2022-05-25,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,642
2022-05-25,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,748
2022-05-25,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,812
2022-05-25,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,750
2022-05-25,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,914
2022-05-26,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,597
2022-05-26,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,319
2022-05-26,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,540
2022-05-26,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,700
2022-05-26,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,697
2022-05-26,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,571
2022-05-26,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,470
2022-05-26,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,397
2022-05-26,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,511
2022-05-26,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,669
2022-05-26,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,546
2022-05-26,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,674
2022-05-26,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,502
2022-05-26,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,419
2022-05-26,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,565
2022-05-26,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,571
2022-05-26,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,743
2022-05-26,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,898
2022-05-26,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,841
2022-05-26,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,703
2022-05-27,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,577
2022-05-27,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,520
2022-05-27,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,527
2022-05-27,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,433
2022-05-27,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,768
2022-05-27,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,437
2022-05-27,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,300
2022-05-27,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,541
2022-05-27,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,392
2022-05-27,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,679
2022-05-27,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,474
2022-05-27,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,673
2022-05-27,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,995
2022-05-27,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,302
2022-05-27,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,483
2022-05-27,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,630
2022-05-27,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,671
2022-05-27,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,664
2022-05-27,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,872
2022-05-27,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,697
2022-05-28,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,547
2022-05-28,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,549
2022-05-28,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,873
2022-05-28,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,467
2022-05-28,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,882
2022-05-28,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,404
2022-05-28,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,450
2022-05-28,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,499
2022-05-28,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,526
2022-05-28,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,533
2022-05-28,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,519
2022-05-28,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,516
2022-05-28,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,862
2022-05-28,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,305
2022-05-28,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,595
2022-05-28,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,989
2022-05-28,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,589
2022-05-28,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,622
2022-05-28,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,933
2022-05-28,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,709
2022-05-29,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,762
2022-05-29,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,408
2022-05-29,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,769
2022-05-29,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,679
2022-05-29,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,740
2022-05-29,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,572
2022-05-29,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,368
2022-05-29,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,599
2022-05-29,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,454
2022-05-29,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,544
2022-05-29,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,524
2022-05-29,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,552
2022-05-29,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,584
2022-05-29,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,331
2022-05-29,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,480
2022-05-29,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,923
2022-05-29,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,772
2022-05-29,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,928
2022-05-29,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,749
2022-05-29,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,944
2022-05-30,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,952
2022-05-30,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,366
2022-05-30,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,548
2022-05-30,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,655
2022-05-30,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,689
2022-05-30,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,666
2022-05-30,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,426
2022-05-30,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,342
2022-05-30,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,596
2022-05-30,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,552
2022-05-30,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,459
2022-05-30,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,523
2022-05-30,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,866
2022-05-30,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,414
2022-05-30,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,465
2022-05-30,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,588
2022-05-30,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,709
2022-05-30,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,917
2022-05-30,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,626
2022-05-30,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,827
2022-05-31,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,921
2022-05-31,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,349
2022-05-31,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,693
2022-05-31,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,576
2022-05-31,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,764
2022-05-31,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,615
2022-05-31,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,409
2022-05-31,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,343
2022-05-31,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,519
2022-05-31,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,600
2022-05-31,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,616
2022-05-31,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,482
2022-05-31,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,734
2022-05-31,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,572
2022-05-31,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,544
2022-05-31,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,589
2022-05-31,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,782
2022-05-31,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,775
2022-05-31,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,936
2022-05-31,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,981
2022-06-01,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,561
2022-06-01,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,408
2022-06-01,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,580
2022-06-01,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,662
2022-06-01,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,902
2022-06-01,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,599
2022-06-01,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,569
2022-06-01,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,597
2022-06-01,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,356
2022-06-01,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,427
2022-06-01,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,406
2022-06-01,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,574
2022-06-01,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,995
2022-06-01,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,579
2022-06-01,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,469
2022-06-01,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,507
2022-06-01,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,741
2022-06-01,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,771
2022-06-01,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,715
2022-06-01,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,675
2022-06-02,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,696
2022-06-02,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,588
2022-06-02,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,924
2022-06-02,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,557
2022-06-02,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,891
2022-06-02,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,533
2022-06-02,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,399
2022-06-02,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,442
2022-06-02,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,567
2022-06-02,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,536
2022-06-02,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,556
2022-06-02,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,461
2022-06-02,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,830
2022-06-02,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,407
2022-06-02,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,488
2022-06-02,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,679
2022-06-02,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,880
2022-06-02,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,871
2022-06-02,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,736
2022-06-02,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,838
2022-06-03,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,597
2022-06-03,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,398
2022-06-03,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,555
2022-06-03,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,462
2022-06-03,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,637
2022-06-03,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,688
2022-06-03,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,551
2022-06-03,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,329
2022-06-03,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,454
2022-06-03,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,500
2022-06-03,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,570
2022-06-03,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,492
2022-06-03,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,643
2022-06-03,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,533
2022-06-03,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,607
2022-06-03,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,802
2022-06-03,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,747
2022-06-03,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,754
2022-06-03,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,602
2022-06-03,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,937
2022-06-04,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,590
2022-06-04,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,492
2022-06-04,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,796
2022-06-04,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,596
2022-06-04,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,580
2022-06-04,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,481
2022-06-04,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,365
2022-06-04,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,530
2022-06-04,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,568
2022-06-04,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,680
2022-06-04,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,668
2022-06-04,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,611
2022-06-04,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,765
2022-06-04,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,562
2022-06-04,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,633
2022-06-04,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,761
2022-06-04,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,927
2022-06-04,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,771
2022-06-04,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,622
2022-06-04,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,908
2022-06-05,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,986
2022-06-05,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,596
2022-06-05,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,709
2022-06-05,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,551
2022-06-05,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,542
2022-06-05,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,621
2022-06-05,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,322
2022-06-05,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,323
2022-06-05,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,405
2022-06-05,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,498
2022-06-05,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,498
2022-06-05,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,438
2022-06-05,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,894
2022-06-05,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,397
2022-06-05,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,688
2022-06-05,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,990
2022-06-05,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,757
2022-06-05,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,740
2022-06-05,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,814
2022-06-05,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,740
2022-06-06,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,567
2022-06-06,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,443
2022-06-06,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,576
2022-06-06,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,432
2022-06-06,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,929
2022-06-06,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,507
2022-06-06,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,301
2022-06-06,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,526
2022-06-06,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,347
2022-06-06,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,637
2022-06-06,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,614
2022-06-06,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,639
2022-06-06,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,527
2022-06-06,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,304
2022-06-06,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,484
2022-06-06,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,662
2022-06-06,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,940
2022-06-06,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,659
2022-06-06,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,991
2022-06-06,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,811
2022-06-07,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,611
2022-06-07,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,521
2022-06-07,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,882
2022-06-07,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,532
2022-06-07,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,565
2022-06-07,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,625
2022-06-07,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,403
2022-06-07,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,550
2022-06-07,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,308
2022-06-07,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,577
2022-06-07,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,553
2022-06-07,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,631
2022-06-07,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,835
2022-06-07,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,591
2022-06-07,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,567
2022-06-07,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,580
2022-06-07,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,783
2022-06-07,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,951
2022-06-07,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,901
2022-06-07,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,669
2022-06-08,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,779
2022-06-08,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,482
2022-06-08,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,520
2022-06-08,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,569
2022-06-08,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,508
2022-06-08,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,499
2022-06-08,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,437
2022-06-08,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,474
2022-06-08,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,577
2022-06-08,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,513
2022-06-08,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,676
2022-06-08,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,652
2022-06-08,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,685
2022-06-08,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,448
2022-06-08,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,653
2022-06-08,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,768
2022-06-08,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,763
2022-06-08,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,641
2022-06-08,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,883
2022-06-08,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,611
2022-06-09,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,879
2022-06-09,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,392
2022-06-09,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,816
2022-06-09,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,528
2022-06-09,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,907
2022-06-09,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,694
2022-06-09,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,370
2022-06-09,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,393
2022-06-09,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,351
2022-06-09,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,564
2022-06-09,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,617
2022-06-09,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,438
2022-06-09,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,658
2022-06-09,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,571
2022-06-09,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,440
2022-06-09,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,503
2022-06-09,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,810
2022-06-09,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,613
2022-06-09,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,928
2022-06-09,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,633
2022-06-10,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,806
2022-06-10,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,584
2022-06-10,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,788
2022-06-10,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,494
2022-06-10,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,989
2022-06-10,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,654
2022-06-10,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,541
2022-06-10,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,600
2022-06-10,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,366
2022-06-10,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,628
2022-06-10,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,468
2022-06-10,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,434
2022-06-10,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,552
2022-06-10,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,472
2022-06-10,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,476
2022-06-10,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,829
